priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json,lesson_number
FCN-VP-00001,tlen,alternative spelling of tlein,pron,1,32,32,1,0.9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",24
FCN-VP-00002,huan,and,conj,2,24,24,1,0.9,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31]",24
FCN-VP-00004,tequitl,work,noun,10,16,16,1,0.9,"[10, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31]",24
FCN-VP-00006,cequin,,,8,14,14,0,0.4,"[8, 9, 11, 17, 19, 21, 24, 25, 26, 27, 29, 30, 31, 32]",24
FCN-VP-00008,tlachīhualiztli,,,6,12,12,0,0.4,"[6, 12, 14, 15, 16, 17, 19, 23, 24, 25, 28, 31]",24
FCN-VP-00009,tlamanēxtilli,,,12,12,12,0,0.4,"[12, 13, 14, 15, 16, 17, 19, 20, 23, 24, 25, 32]",24
FCN-VP-00012,ahāhuiltiliztli,,,6,9,9,0,0.4,"[6, 13, 14, 15, 16, 17, 20, 24, 25]",24
FCN-VP-00013,huanya,,,6,9,9,0,0.4,"[6, 7, 8, 12, 13, 24, 25, 26, 31]",24
FCN-VP-00028,tlahtolpāmitl,,,6,5,5,0,0.4,"[6, 13, 24, 25, 31]",24
FCN-VP-00029,īchān,,,7,5,5,0,0.4,"[7, 12, 24, 25, 31]",24
FCN-VP-00035,chichiquilli,Harpoon.,noun,4,4,4,1,0.9,"[4, 18, 24, 27]",24
FCN-VP-00041,itztoc,to be.,verb,7,4,4,1,0.9,"[7, 21, 24, 30]",24
FCN-VP-00042,mīllah,,,7,4,4,0,0.4,"[7, 8, 22, 24]",24
FCN-VP-00047,yohui,,,8,4,4,0,0.4,"[8, 22, 24, 31]",24
FCN-VP-00051,tiotlac,evening,noun,12,4,4,1,0.9,"[12, 21, 22, 24]",24
FCN-VP-00052,nonanān,,,13,4,4,0,0.4,"[13, 24, 26, 32]",24
FCN-VP-00066,chicuēyi,,,4,3,3,0,0.4,"[4, 22, 24]",24
FCN-VP-00074,quinequi,,,7,3,3,0,0.4,"[7, 24, 31]",24
FCN-VP-00076,tōnatiuh,,,7,3,3,0,0.4,"[7, 22, 24]",24
FCN-VP-00078,nochocho,,,9,3,3,0,0.4,"[9, 12, 24]",24
FCN-VP-00082,īyōltzin,,,12,3,3,0,0.4,"[12, 24, 26]",24
FCN-VP-00098,itztoqueh,,,22,3,3,0,0.4,"[22, 24, 26]",24
FCN-VP-00099,yehyēctzin,,,22,3,3,0,0.4,"[22, 24, 25]",24
FCN-VP-00100,human,,,24,3,3,0,0.4,"[24, 29, 32]",24
FCN-VP-00103,cānin,,,3,2,2,0,0.4,"[3, 24]",24
FCN-VP-00138,mohmōztlah,,,8,2,2,0,0.4,"[8, 24]",24
FCN-VP-00143,īchichi,,,8,2,2,0,0.4,"[8, 24]",24
FCN-VP-00147,īchocho,,,9,2,2,0,0.4,"[9, 24]",24
FCN-VP-00157,tlaixpiyalli,,,12,2,2,0,0.4,"[12, 24]",24
FCN-VP-00180,cualcan,,,21,2,2,0,0.4,"[21, 24]",24
FCN-VP-00186,quen,how (in what manner),adv,21,2,2,1,0.9,"[21, 24]",24
FCN-VP-00196,ilhuitl,Day.,noun,22,2,2,1,0.9,"[22, 24]",24
FCN-VP-00205,huāllaz,,,24,2,2,0,0.4,"[24, 26]",24
FCN-VP-00206,huāllazceh,,,24,2,2,0,0.4,"[24, 25]",24
FCN-VP-00207,tiitztozquiah,,,24,2,2,0,0.4,"[24, 30]",24
