priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json,lesson_number
FCN-VP-00001,tlen,alternative spelling of tlein,pron,1,32,32,1,0.9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",17
FCN-VP-00002,huan,and,conj,2,24,24,1,0.9,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31]",17
FCN-VP-00004,tequitl,work,noun,10,16,16,1,0.9,"[10, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31]",17
FCN-VP-00006,cequin,,,8,14,14,0,0.4,"[8, 9, 11, 17, 19, 21, 24, 25, 26, 27, 29, 30, 31, 32]",17
FCN-VP-00008,tlachīhualiztli,,,6,12,12,0,0.4,"[6, 12, 14, 15, 16, 17, 19, 23, 24, 25, 28, 31]",17
FCN-VP-00009,tlamanēxtilli,,,12,12,12,0,0.4,"[12, 13, 14, 15, 16, 17, 19, 20, 23, 24, 25, 32]",17
FCN-VP-00012,ahāhuiltiliztli,,,6,9,9,0,0.4,"[6, 13, 14, 15, 16, 17, 20, 24, 25]",17
FCN-VP-00021,each,,,10,7,7,0,0.4,"[10, 11, 13, 17, 21, 27, 29]",17
FCN-VP-00032,tlamanextilli,,,1,4,4,0,0.4,"[1, 17, 20, 26]",17
FCN-VP-00053,ahahuiltiliztli,,,17,4,4,0,0.4,"[17, 20, 26, 28]",17
FCN-VP-00084,hualiztli,,,13,3,3,0,0.4,"[13, 17, 28]",17
FCN-VP-00087,mochīhua,,,17,3,3,0,0.4,"[17, 22, 31]",17
FCN-VP-00088,tlachihualiztli,verb.,noun,17,3,3,1,0.9,"[17, 26, 28]",17
FCN-VP-00159,tlachi,,,13,2,2,0,0.4,"[13, 17]",17
FCN-VP-00163,mo-,,prefix,17,2,2,1,0.9,"[17, 23]",17
FCN-VP-00164,mochihchīhua,,,17,2,2,0,0.4,"[17, 22]",17
FCN-VP-00165,mocuā,,,17,2,2,0,0.4,"[17, 22]",17
FCN-VP-00542,match,,,17,1,1,0,0.4,[17],17
FCN-VP-00543,monāmaca,,,17,1,1,0,0.4,[17],17
FCN-VP-00544,motehtequi,,,17,1,1,0,0.4,[17],17
FCN-VP-00545,motlaloa,,,17,1,1,0,0.4,[17],17
FCN-VP-00546,motlamāca,,,17,1,1,0,0.4,[17],17
FCN-VP-00547,moxilhuia,,,17,1,1,0,0.4,[17],17
FCN-VP-00548,occurring,,,17,1,1,0,0.4,[17],17
FCN-VP-00549,timoxilhuiah,,,17,1,1,0,0.4,[17],17
FCN-VP-00550,tlahtolpāmeh,,,17,1,1,0,0.4,[17],17
