priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json,lesson_number
FCN-VP-00001,tlen,alternative spelling of tlein,pron,1,32,32,1,0.9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",22
FCN-VP-00002,huan,and,conj,2,24,24,1,0.9,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31]",22
FCN-VP-00004,tequitl,work,noun,10,16,16,1,0.9,"[10, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31]",22
FCN-VP-00005,īcā,,,4,14,14,0,0.4,"[4, 6, 7, 8, 9, 11, 12, 19, 22, 23, 27, 29, 31, 32]",22
FCN-VP-00007,which,,,4,13,13,0,0.4,"[4, 9, 15, 16, 18, 19, 20, 21, 22, 23, 26, 28, 30]",22
FCN-VP-00010,questions,,,2,11,11,0,0.4,"[2, 4, 7, 8, 9, 18, 19, 21, 22, 29, 31]",22
FCN-VP-00015,chicontepec,"Chicontepec (the largest city in the state of Veracruz, Mexico)",name,3,7,7,1,0.9,"[3, 7, 11, 21, 22, 27, 32]",22
FCN-VP-00018,yāhuatzinco,,,6,7,7,0,0.4,"[6, 7, 12, 13, 19, 22, 25]",22
FCN-VP-00019,quēmman,,,7,7,7,0,0.4,"[7, 11, 13, 19, 22, 29, 31]",22
FCN-VP-00020,tlamantli,thing.,noun,8,7,7,1,0.9,"[8, 19, 21, 22, 27, 29, 31]",22
FCN-VP-00022,cāmpa,,,19,7,7,0,0.4,"[19, 22, 23, 25, 26, 27, 31]",22
FCN-VP-00023,quipiya,,,3,6,6,0,0.4,"[3, 4, 20, 22, 27, 29]",22
FCN-VP-00025,achtohui,first.,adj,7,6,6,1,0.9,"[7, 19, 21, 22, 29, 31]",22
FCN-VP-00026,nouhquiya,,,7,6,6,0,0.4,"[7, 19, 22, 27, 29, 31]",22
FCN-VP-00027,nicān,,,3,5,5,0,0.4,"[3, 22, 26, 27, 31]",22
FCN-VP-00030,tlacualli,Food.,noun,18,5,5,1,0.9,"[18, 19, 22, 25, 31]",22
FCN-VP-00031,tlahuel,very,adv,19,5,5,1,0.9,"[19, 22, 28, 30, 32]",22
FCN-VP-00036,huēyi,,,4,4,4,0,0.4,"[4, 22, 23, 25]",22
FCN-VP-00039,xīhuitl,,,4,4,4,0,0.4,"[4, 9, 22, 26]",22
FCN-VP-00042,mīllah,,,7,4,4,0,0.4,"[7, 8, 22, 24]",22
FCN-VP-00043,nahui,four,num,7,4,4,1,0.9,"[7, 19, 22, 28]",22
FCN-VP-00045,quēntzin,,,7,4,4,0,0.4,"[7, 22, 27, 29]",22
FCN-VP-00047,yohui,,,8,4,4,0,0.4,"[8, 22, 24, 31]",22
FCN-VP-00048,hueliz,,,11,4,4,0,0.4,"[11, 22, 29, 31]",22
FCN-VP-00050,tlan,,,11,4,4,0,0.4,"[11, 22, 29, 31]",22
FCN-VP-00051,tiotlac,evening,noun,12,4,4,1,0.9,"[12, 21, 22, 24]",22
FCN-VP-00054,chilli,chili pepper,noun,18,4,4,1,0.9,"[18, 19, 22, 27]",22
FCN-VP-00055,chachapalli,,,19,4,4,0,0.4,"[19, 22, 25, 27]",22
FCN-VP-00056,noque,,,19,4,4,0,0.4,"[19, 21, 22, 31]",22
FCN-VP-00057,ātl,,,19,4,4,0,0.4,"[19, 22, 25, 30]",22
FCN-VP-00058,monequi,,,21,4,4,0,0.4,"[21, 22, 29, 31]",22
FCN-VP-00059,xiquihcuilo,,,21,4,4,0,0.4,"[21, 22, 29, 31]",22
FCN-VP-00061,cihuātl,,,3,3,3,0,0.4,"[3, 11, 22]",22
FCN-VP-00066,chicuēyi,,,4,3,3,0,0.4,"[4, 22, 24]",22
FCN-VP-00068,quēn,,,4,3,3,0,0.4,"[4, 18, 22]",22
FCN-VP-00070,cāhuitl,,,6,3,3,0,0.4,"[6, 7, 22]",22
FCN-VP-00071,etl,bean,noun,7,3,3,1,0.9,"[7, 21, 22]",22
FCN-VP-00073,quichīhua,,,7,3,3,0,0.4,"[7, 22, 31]",22
FCN-VP-00076,tōnatiuh,,,7,3,3,0,0.4,"[7, 22, 24]",22
FCN-VP-00077,achi,small.,adv,8,3,3,1,0.9,"[8, 10, 22]",22
FCN-VP-00080,quēnque,,,11,3,3,0,0.4,"[11, 18, 22]",22
FCN-VP-00083,cut,,,13,3,3,0,0.4,"[13, 15, 22]",22
FCN-VP-00085,quicui,,,13,3,3,0,0.4,"[13, 22, 31]",22
FCN-VP-00087,mochīhua,,,17,3,3,0,0.4,"[17, 22, 31]",22
FCN-VP-00091,iztātl,,,19,3,3,0,0.4,"[19, 22, 27]",22
FCN-VP-00092,nochi,all.,det,19,3,3,1,0.9,"[19, 22, 31]",22
FCN-VP-00093,pilaltepētzitzin,,,19,3,3,0,0.4,"[19, 22, 27]",22
FCN-VP-00094,queniuhqui,,,19,3,3,0,0.4,"[19, 21, 22]",22
FCN-VP-00097,tlahco,,,21,3,3,0,0.4,"[21, 22, 31]",22
FCN-VP-00098,itztoqueh,,,22,3,3,0,0.4,"[22, 24, 26]",22
FCN-VP-00099,yehyēctzin,,,22,3,3,0,0.4,"[22, 24, 25]",22
FCN-VP-00107,tepōztli,,,3,2,2,0,0.4,"[3, 22]",22
FCN-VP-00125,chīlli,,,7,2,2,0,0.4,"[7, 22]",22
FCN-VP-00126,mēhua,,,7,2,2,0,0.4,"[7, 22]",22
FCN-VP-00130,quimāna,,,7,2,2,0,0.4,"[7, 22]",22
FCN-VP-00131,tlacualchīhua,,,7,2,2,0,0.4,"[7, 22]",22
FCN-VP-00135,cīntli,,,8,2,2,0,0.4,"[8, 22]",22
FCN-VP-00142,tlatlahco,,,8,2,2,0,0.4,"[8, 22]",22
FCN-VP-00151,huahcapantic,,,10,2,2,0,0.4,"[10, 22]",22
FCN-VP-00152,nahua,,,11,2,2,0,0.4,"[11, 22]",22
