construction_id,proficiency_band,domain_label,pattern_text,example_original,confidence
FCN-CXN-000024,A1,Units,Tlamachtiliztli Tlachīhualiztli tlen panoc Part Past Tense Verbs Part,Tlamachtiliztli 16 Tlachīhualiztli tlen panoc. Part 3 (Past Tense Verbs Part 3),0.8944000000000001
FCN-CXN-000025,A1,Units,Tlamachtiliztli Na nimocehuia pan cuaciyah I Sit in the Chair,Tlamachtiliztli 17 Na nimocehuia pan cuaciyah (I Sit in the Chair),0.8500000000000001
FCN-CXN-000026,A1,Units,Tlamachtiliztli Tlen nicāmati huan tlen ax nicāmati What I Like and Do,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (What I Like and Do Not Like),0.95
FCN-CXN-000027,A1,Units,Tlamachtiliztli Ximoquētza Stand Up,Tlamachtiliztli 19 Ximoquētza (Stand Up!),0.95
FCN-CXN-000028,A1,Units,Tlamachtiliztli Tlahtoltēcpānalitzli -pil huan -tzin The Grammar of -pil and -tzin,Tlamachtiliztli 20 Tlahtoltēcpānalitzli -pil huan -tzin (The Grammar of -pil and -tzin),0.95
FCN-CXN-000029,A1,Units,Tlamachtiliztli Tlen ticpiyah pan millah What We Have in the Field,Tlamachtiliztli 21 Tlen ticpiyah pan millah (What We Have in the Field),0.6318
FCN-CXN-000030,A1,Units,Tlamachtiliztli Tomīllah huah totlacualiz Our Cornfield and Our Food,Tlamachtiliztli 22 Tomīllah huah totlacualiz (Our Cornfield and Our Food),0.95
FCN-CXN-000031,A1,Units,Tlamachtiliztli Tlen eltoc calihtic What is Inside the House,Tlamachtiliztli 23 Tlen eltoc calihtic (What is Inside the House),0.6722
FCN-CXN-000032,A1,Units,Tlamachtiliztli Niihhuia pan āltepētl Part I Had Gone to the City Part,"Tlamachtiliztli 24 Niihhuia pan āltepētl, Part 1 (I Had Gone to the City Part 1)",0.7833
FCN-CXN-000033,A1,Units,Tlamachtiliztli Niihhuia pan altepētl Part I Had Gone to the City Part,Tlamachtiliztli 25 Niihhuia pan altepētl Part 2 (I Had Gone to the City Part 2),0.7833
FCN-CXN-000034,A1,Units,Tlamachtiliztli Niquicōhuaco cē tlaxcalyoyomitl I Came to Buy a Tortilla Napkin,Tlamachtiliztli 26 Niquicōhuaco cē tlaxcalyoyomitl (I Came to Buy a Tortilla Napkin),0.9045000000000001
FCN-CXN-000035,A1,Units,Tlamachtiliztli Namantzin eltoc tiānquiz It’s market day today,Tlamachtiliztli 27 Namantzin eltoc tiānquiz (It’s market day today!),0.95
FCN-CXN-000036,A1,Units,Tlamachtiliztli Nipanoyaya mochān I Was Passing By Your House,Tlamachtiliztli 28 Nipanoyaya mochān (I Was Passing By Your House),0.7833
FCN-CXN-000037,A1,Units,Tlamachtiliztli Tlen cocōliztli tiquixmati What Illnesses Do You Know,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (What Illnesses Do You Know?),0.95
FCN-CXN-000038,A1,Units,Tlamachtiliztli -zquia -tozquia The conditional Part,"Tlamachtiliztli 30 -zquia, -tozquia (The conditional, Part 1)",0.95
FCN-CXN-000039,A1,Units,Tlamachtiliztli Tlacotōntli huan tlaochpanāliztli Cleansing ceremonies the conditional Part,"Tlamachtiliztli 31 Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)",0.95
FCN-CXN-000040,A1,Units,Tlamachtiliztli Tē- and tla- Non-specific object markers Part,"Tlamachtiliztli 32 Tē- and tla-: Non-specific object markers, Part 1",0.95
FCN-CXN-000041,A1,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),For example the word teuctli lord sir is pronounced as tēktli emphasizing,"For example, the word “teuctli” (lord/sir) is pronounced as “tēktli,” emphasizing the first vowel and silencing the “u.”",0.6079
FCN-CXN-000042,A1,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),For example the word cōuhqui she bought something is pronounced as cōhquī,"For example, the word “cōuhqui” (she bought something) is pronounced as “cōhquī,” emphazising the first vowel and silencing the “u.”",0.6
FCN-CXN-000043,A1,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),ch m n p t y l cu uc qu hu uh,ch m n p t y l cu uc qu hu uh h x tl tz z,0.8618
FCN-CXN-000044,A1,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),Tlamānēxtilli tlen tēntlatzacuilcayōtl Examples of Consonants,Tlamānēxtilli tlen tēntlatzacuilcayōtl (Examples of Consonants),0.95
FCN-CXN-000045,A1,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),Tlamanextilli tlen tentzilincayotl Examples of vowels,Tlamanextilli tlen tentzilincayotl (Examples of vowels),0.95
FCN-CXN-000046,A1,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,A Hello good day teacher,"A: Hello, good day teacher.",0.65
FCN-CXN-000047,A1,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,Totlahtlaniliz huan totlahtol tlen ica tlamachtiliztli Our questions and phrases for class,Totlahtlaniliz huan totlahtol tlen ica tlamachtiliztli (Our questions and phrases for class),0.95
FCN-CXN-000048,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),Comiendo Tacos en Chic ntepēc CC BY Martin the Hunter,Comiendo Tacos en Chicøntepēc CC BY Martin the Hunter,0.95
FCN-CXN-000049,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),A Piyalli quēniuhqui motōcah,"A: Piyalli, ¿quēniuhqui motōcah?",0.95
FCN-CXN-000050,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),B Piyalli na notōcah Paty Huan ta,"B: Piyalli, na notōcah Paty. ¿Huan ta?",0.8786
FCN-CXN-000051,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),A Na notōcah Juana Cānin tiēhua,A: Na notōcah Juana. ¿Cānin tiēhua?,0.95
FCN-CXN-000052,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),B Na niēhua Tecomate Chicōntepēc,"B: Na niēhua Tecomate, Chicōntepēc.",0.95
FCN-CXN-000053,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),I am from Tecomate Chicontepec,"I am from Tecomate, Chicontepec.",0.65
FCN-CXN-000054,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),A Ah cualtitoc na nicān Mexco niēhua Huan ta tlen ticchīhua niāan,"A: Ah cualtitoc, na nicān Mexco niēhua. Huan ta ¿tlen ticchīhua niāan Mexco?",0.95
FCN-CXN-000055,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),B Na nimomachtia huan nitlamachtia pan caltlamachticān tlen UNAM,B: Na nimomachtia huan nitlamachtia pan caltlamachticān tlen UNAM.,0.95
FCN-CXN-000056,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),I am a student and I teach at the school of the,I am a student and I teach at the school of the UNAM.,0.6038
FCN-CXN-000057,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),B Na nitlamachtia Nahuatl,B: Na nitlamachtia Nahuatl.,0.95
FCN-CXN-000058,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),A Ohh cualtitoc teipan timoittazceh,"A: Ohh, cualtitoc, teipan timoittazceh.",0.65
FCN-CXN-000059,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),Tlatocaxtiliztli tlen axquipiya itecoh Absolute Nouns,Tlatocaxtiliztli tlen axquipiya itecoh (Absolute Nouns),0.95
FCN-CXN-000060,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),ni noun base tl tli li n,ni – (noun base) – tl /tli /li /n /ø,0.7357
FCN-CXN-000061,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),ti noun base tl tli li n,ti – (noun base) – tl /tli /li /n /ø,0.7357
FCN-CXN-000062,A1,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),noun base tl tli li n,ø – (noun base) – tl /tli /li /n /ø,0.7833
