timestamp_utc,source_name,source_type,license,notes,retrieval_url,identifier,path,sha256,size_bytes,content_type,status,error
2026-03-26T04:09:54Z,enwiktionary-pages-articles,wikimedia_dump,CC BY-SA / GFDL; verify dump/site notice,Official dump; parse locally for Nahuatl entries and templates.,https://dumps.wikimedia.org/enwiktionary/latest/enwiktionary-latest-pages-articles.xml.bz2,,data\wikimedia\enwiktionary-pages-articles\enwiktionary-latest-pages-articles.xml.bz2,bef10a5a034d6ec1ed25bca43d406c63ae1e8677ec7942a4f750539842e1d2e2,1564203748,application/octet-stream,ok,
2026-03-26T04:17:37Z,archive-vocabulario-molina-metadata,internet_archive_metadata,See item rights / public-domain metadata context,Get metadata before deciding which derivatives to download.,https://archive.org/metadata/vocabularioenlen00moli_0,vocabularioenlen00moli_0,data\internet_archive\vocabularioenlen00moli_0\metadata.json,076147107c5b3b0fd4508b16812a8eb4f75fd951cac069f66f8ea78259b67acb,107265,application/json,ok,
2026-03-26T04:17:39Z,ud-western-sierra-puebla-readme,github_raw,Per-treebank license; inspect repository and release license,Useful for corpus provenance and annotation notes.,https://raw.githubusercontent.com/UniversalDependencies/UD_Western_Sierra_Puebla_Nahuatl-ITML/master/README.md,,data\github\ud-western-sierra-puebla-readme\README.md,c0dbb3f502028afb93d18f4ab8233d509c6ba266f38a3c0a17b5fed19b741d96,1855,text/plain; charset=utf-8,ok,
