rank,list_name,entry_id,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace,subgroup
87,function_words,kw::ta::2,safe,safe: core_everyday_domain,ta,ta,ta,ta,second person; you (singular),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ta::sense-2,0.95,identity,pron
88,function_words,kw::taha::1,safe,safe: core_everyday_domain,taha,taha,taha,taha,second person; you (singular),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::taha::sense-1,0.95,identity,pron
89,function_words,kw::tohuanti::1,safe,safe: core_everyday_domain,tohuanti,tohuanti,towanti,tohuanti,first person; we,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tohuanti::sense-1,0.95,hu> w before vowel,pron
90,function_words,kw::ya::2,safe,safe: core_everyday_domain,ya,ya,ya,ya,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ya::sense-2,0.95,identity,pron
91,function_words,kw::yaha::1,safe,safe: core_everyday_domain,yaha,yaha,yaha,yaha,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yaha::sense-1,0.95,identity,pron
92,function_words,kw::yahaya::1,safe,safe: core_everyday_domain,yahaya,yahaya,yahaya,yahaya,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yahaya::sense-1,0.95,identity,pron
93,function_words,kw::yahuanti::1,safe,safe: core_everyday_domain,yahuanti,yahuanti,yawanti,yahuanti,third person; they,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yahuanti::sense-1,0.95,hu> w before vowel,pron
94,function_words,kw::amohuanti::1,safe,safe: core_everyday_domain,amohuanti,amohuanti,amowanti,amohuanti,second person; you (plural),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amohuanti::sense-1,0.95,hu> w before vowel,pron
95,function_words,kw::imohuanti::1,safe,safe: core_everyday_domain,imohuanti,imohuanti,imowanti,imohuanti,second person; you (plural),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::imohuanti::sense-1,0.95,hu> w before vowel,pron
96,function_words,kw::ininhuanti::1,safe,safe: core_everyday_domain,ininhuanti,ininhuanti,ininwanti,ininhuanti,third person; they,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ininhuanti::sense-1,0.95,hu> w before vowel,pron
97,function_words,kw::queja::1,unsafe,unsafe: alternate_or_obsolete_spelling,queja,queja,keha (“how?”),queja,alternative spelling of queha (“how?”),,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,51,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::queja::sense-1,0.95,gloss target: queha (“how?”); qu > k before front vowel,adv
98,function_words,kw::queja::2,unsafe,unsafe: alternate_or_obsolete_spelling,queja,queja,keha (“like”),queja,alternative spelling of queha (“like”),,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,43,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::queja::sense-2,0.95,gloss target: queha (“like”); qu > k before front vowel,prep
