rank,list_name,entry_id,attestation_status,phase7_status,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
11,core_ehn_500,kw::ax-aqui::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ax aqui,ax aqui,ax aki,ax aqui,nobody,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,148,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax aqui::sense-1,0.95,qu > k before front vowel
12,core_ehn_500,kw::miyac::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,miyac,miyac,miyak,miyac,many,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,148,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::miyac::sense-1,0.95,hard c > k
13,core_ehn_500,kw::pampa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,pampa,pampa,pampa,pampa,because,,conj,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,145,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::pampa::sense-1,0.95,identity
14,core_ehn_500,kw::ax-tleno::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ax tleno,ax tleno,ax tleno,ax tleno,you're welcome,,intj,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,143,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax tleno::sense-1,0.95,identity
15,core_ehn_500,kw::achtohui::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,achtohui,achtohui,achtowi,achtohui,before,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::achtohui::sense-2,0.95,hu> w before vowel
16,core_ehn_500,kw::ahqueya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ahqueya,ahqueya,ahkeya,ahqueya,who?,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ahqueya::sense-1,0.95,qu > k before front vowel
17,core_ehn_500,kw::ama::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ama,ama,ama,ama,now,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ama::sense-1,0.95,identity
18,core_ehn_500,kw::amantzi::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,amantzi,amantzi,amantsi,amantzi,right now,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amantzi::sense-1,0.95,z > s
19,core_ehn_500,kw::ax::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ax,ax,ax,ax,not,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax::sense-1,0.95,identity
20,core_ehn_500,kw::aya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,aya,aya,aya,aya,not yet,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::aya::sense-1,0.95,identity
21,core_ehn_500,kw::campa::4,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,campa,campa,kampa,campa,where,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::campa::sense-4,0.95,hard c > k
22,core_ehn_500,kw::canque::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,canque,canque,kanke,canque,where,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::canque::sense-1,0.95,qu > k before front vowel; hard c > k
23,core_ehn_500,kw::canque::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,canque,canque,kanke,canque,"whither, to where",,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::canque::sense-2,0.95,qu > k before front vowel; hard c > k
24,core_ehn_500,kw::queha::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,queha,queha,keha,queha,how,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::queha::sense-1,0.95,qu > k before front vowel
25,core_ehn_500,kw::quehatza::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quehatza,quehatza,kehatsa,quehatza,how,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quehatza::sense-1,0.95,qu > k before front vowel; z > s
26,core_ehn_500,kw::quentzi::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quentzi,quentzi,kentsi,quentzi,"little, not much",,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quentzi::sense-1,0.95,qu > k before front vowel; z > s
27,core_ehn_500,kw::quezqui::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quezqui,quezqui,keski,quezqui,how much?,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quezqui::sense-1,0.95,qu > k before front vowel; z > s
28,core_ehn_500,kw::moztla::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,moztla,moztla,mostla,moztla,tomorrow,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::moztla::sense-2,0.95,z > s
29,core_ehn_500,kw::neca::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,neca,neca,neka,neca,there,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::neca::sense-1,0.95,hard c > k
30,core_ehn_500,kw::nepa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nepa,nepa,nepa,nepa,there,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nepa::sense-1,0.95,identity
31,core_ehn_500,kw::nica::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nica,nica,nika,nica,here,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nica::sense-1,0.95,hard c > k
