rank,list_name,entry_id,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
21,social_interaction,kw::nopa::2,safe,safe: core_everyday_domain,nopa,nopa,nopa,nopa,that,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nopa::sense-2,0.95,identity
22,social_interaction,kw::ta::2,safe,safe: core_everyday_domain,ta,ta,ta,ta,second person; you (singular),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ta::sense-2,0.95,identity
23,social_interaction,kw::taha::1,safe,safe: core_everyday_domain,taha,taha,taha,taha,second person; you (singular),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::taha::sense-1,0.95,identity
24,social_interaction,kw::tohuanti::1,safe,safe: core_everyday_domain,tohuanti,tohuanti,towanti,tohuanti,first person; we,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tohuanti::sense-1,0.95,hu> w before vowel
25,social_interaction,kw::ya::2,safe,safe: core_everyday_domain,ya,ya,ya,ya,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ya::sense-2,0.95,identity
26,social_interaction,kw::yaha::1,safe,safe: core_everyday_domain,yaha,yaha,yaha,yaha,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yaha::sense-1,0.95,identity
27,social_interaction,kw::yahaya::1,safe,safe: core_everyday_domain,yahaya,yahaya,yahaya,yahaya,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yahaya::sense-1,0.95,identity
28,social_interaction,kw::yahuanti::1,safe,safe: core_everyday_domain,yahuanti,yahuanti,yawanti,yahuanti,third person; they,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yahuanti::sense-1,0.95,hu> w before vowel
29,social_interaction,kw::amohuanti::1,safe,safe: core_everyday_domain,amohuanti,amohuanti,amowanti,amohuanti,second person; you (plural),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amohuanti::sense-1,0.95,hu> w before vowel
30,social_interaction,kw::imohuanti::1,safe,safe: core_everyday_domain,imohuanti,imohuanti,imowanti,imohuanti,second person; you (plural),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::imohuanti::sense-1,0.95,hu> w before vowel
31,social_interaction,kw::ininhuanti::1,safe,safe: core_everyday_domain,ininhuanti,ininhuanti,ininwanti,ininhuanti,third person; they,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ininhuanti::sense-1,0.95,hu> w before vowel
32,social_interaction,kw::camati::1,safe,safe: core_everyday_domain,camati,camati,kamati,camati,to speak,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camati::sense-1,0.95,hard c > k
