entry_id,headword,part_of_speech,variety,gloss_en,editorial_status,notes_internal
SM::016439,FR,unknown,Classical Nahuatl,,Flagged,definition_fr=tenatic. | duplicate_candidate_key=fr|unknown|classical nahuatl|
SM::017724,FR,unknown,Classical Nahuatl,,Flagged,definition_fr=tepuztlacopina. | duplicate_candidate_key=fr|unknown|classical nahuatl|
SM::019553,FR,unknown,Classical Nahuatl,,Flagged,definition_fr=ai. | duplicate_candidate_key=fr|unknown|classical nahuatl|
SM::021922,FR,unknown,Classical Nahuatl,,Flagged,definition_fr=tlamatini. | duplicate_candidate_key=fr|unknown|classical nahuatl|
SM::023931,FR,unknown,Classical Nahuatl,,Flagged,definition_fr=hticana. | duplicate_candidate_key=fr|unknown|classical nahuatl|
SM::025411,FR,unknown,Classical Nahuatl,,Flagged,definition_fr=wuiroa. | duplicate_candidate_key=fr|unknown|classical nahuatl|
SM::025682,FR,unknown,Classical Nahuatl,,Flagged,definition_fr=xolochoa. | duplicate_candidate_key=fr|unknown|classical nahuatl|
SM::026002,FR,unknown,Classical Nahuatl,,Flagged,"definition_fr=tocaitl, ca. | duplicate_candidate_key=fr|unknown|classical nahuatl|"
SM::026234,FR,unknown,Classical Nahuatl,,Flagged,"definition_fr=tonalli, meyotia. | duplicate_candidate_key=fr|unknown|classical nahuatl|"
SM::001758,GA,unknown,Classical Nahuatl,,Flagged,"definition_fr=syllabe réduplicative dans les fréquentatifs : cacalaqui, entrer souvent; cacaxtolli, de quinze en quinze; elc., etc. | duplicate_candidate_key=ga|unknown|classical nahuatl|"
SM::001761,GA,unknown,Classical Nahuatl,,Flagged,"definition_fr=syllabe réduplicative dans les fréquentatifs ; çcaçalhuia , coller, recoller; etc., etc. | duplicate_candidate_key=ga|unknown|classical nahuatl|"
SM::005749,IC,unknown,Classical Nahuatl,,Flagged,definition_fr=NIMAN ou IG NIMAN YE. Voy. Niman. | ocr_damage_suspected=True | duplicate_candidate_key=ic|unknown|classical nahuatl|
SM::005784,IC,unknown,Classical Nahuatl,,Flagged,definition_fr=NONOC. Voy. Oxoc. | ocr_damage_suspected=True | duplicate_candidate_key=ic|unknown|classical nahuatl|
SM::005541,ICA,unknown,Classical Nahuatl,,Flagged,definition_fr=Voy. Ca. | duplicate_candidate_key=ica|unknown|classical nahuatl|
SM::005543,ICA,unknown,Classical Nahuatl,,Flagged,definition_fr=plur. icacan. Imp. du verbe irr. 1cac. | duplicate_candidate_key=ica|unknown|classical nahuatl|
SM::005552,ICA,unknown,Classical Nahuatl,,Flagged,definition_fr=YEYELOAC. Voy. YEYELOAG. | duplicate_candidate_key=ica|unknown|classical nahuatl|
SM::005578,ICAUAQUILIZTLI,verb,Classical Nahuatl,,Flagged,"definition_fr=Ou ICAUAQUIZTLI, 5. v. Mur- mure, bruit, gazouillement, etc. R. icauaca. | roots=icauaca | duplicate_candidate_key=icauaquiliztli|verb|classical nahuatl|"
SM::005579,ICAUAQUILIZTLI,verb,Classical Nahuatl,,Flagged,definition_fr=5. v. Enrouement. R. içauaca. | roots=içauaca | duplicate_candidate_key=icauaquiliztli|verb|classical nahuatl|
