priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json
FCN-VP-00055,chachapalli,,,19,4,4,0,0.4,"[19, 22, 25, 27]"
FCN-VP-00056,noque,,,19,4,4,0,0.4,"[19, 21, 22, 31]"
FCN-VP-00057,ātl,,,19,4,4,0,0.4,"[19, 22, 25, 30]"
FCN-VP-00058,monequi,,,21,4,4,0,0.4,"[21, 22, 29, 31]"
FCN-VP-00059,xiquihcuilo,,,21,4,4,0,0.4,"[21, 22, 29, 31]"
FCN-VP-00060,chicōntepēc,,,3,3,3,0,0.4,"[3, 27, 32]"
FCN-VP-00061,cihuātl,,,3,3,3,0,0.4,"[3, 11, 22]"
FCN-VP-00062,nimomachtia,,,3,3,3,0,0.4,"[3, 5, 6]"
FCN-VP-00063,nitlamachtia,,,3,3,3,0,0.4,"[3, 5, 6]"
FCN-VP-00064,teach,,,3,3,3,0,0.4,"[3, 5, 6]"
FCN-VP-00065,tlatōcaxtiliztli,,,3,3,3,0,0.4,"[3, 20, 23]"
FCN-VP-00066,chicuēyi,,,4,3,3,0,0.4,"[4, 22, 24]"
FCN-VP-00067,mahtlactli,ten,num,4,3,3,1,0.9,"[4, 6, 27]"
FCN-VP-00068,quēn,,,4,3,3,0,0.4,"[4, 18, 22]"
FCN-VP-00069,tlahtlaniliztli,,,4,3,3,0,0.4,"[4, 21, 31]"
FCN-VP-00070,cāhuitl,,,6,3,3,0,0.4,"[6, 7, 22]"
FCN-VP-00071,etl,bean,noun,7,3,3,1,0.9,"[7, 21, 22]"
FCN-VP-00072,inanān,,,7,3,3,0,0.4,"[7, 25, 26]"
FCN-VP-00073,quichīhua,,,7,3,3,0,0.4,"[7, 22, 31]"
FCN-VP-00074,quinequi,,,7,3,3,0,0.4,"[7, 24, 31]"
FCN-VP-00075,tlayōhua,,,7,3,3,0,0.4,"[7, 12, 19]"
FCN-VP-00076,tōnatiuh,,,7,3,3,0,0.4,"[7, 22, 24]"
FCN-VP-00077,achi,small.,adv,8,3,3,1,0.9,"[8, 10, 22]"
FCN-VP-00078,nochocho,,,9,3,3,0,0.4,"[9, 12, 24]"
FCN-VP-00079,mōztla,,,11,3,3,0,0.4,"[11, 12, 26]"
FCN-VP-00080,quēnque,,,11,3,3,0,0.4,"[11, 18, 22]"
FCN-VP-00081,nochipa,,,12,3,3,0,0.4,"[12, 13, 29]"
FCN-VP-00082,īyōltzin,,,12,3,3,0,0.4,"[12, 24, 26]"
FCN-VP-00083,cut,,,13,3,3,0,0.4,"[13, 15, 22]"
FCN-VP-00084,hualiztli,,,13,3,3,0,0.4,"[13, 17, 28]"
FCN-VP-00085,quicui,,,13,3,3,0,0.4,"[13, 22, 31]"
FCN-VP-00086,tohhuantin,,,13,3,3,0,0.4,"[13, 19, 31]"
FCN-VP-00087,mochīhua,,,17,3,3,0,0.4,"[17, 22, 31]"
FCN-VP-00088,tlachihualiztli,verb.,noun,17,3,3,1,0.9,"[17, 26, 28]"
FCN-VP-00089,chicken,,,18,3,3,0,0.4,"[18, 27, 31]"
FCN-VP-00090,cualli,Something good; a good thing.,noun,19,3,3,1,0.9,"[19, 29, 31]"
FCN-VP-00091,iztātl,,,19,3,3,0,0.4,"[19, 22, 27]"
FCN-VP-00092,nochi,all.,det,19,3,3,1,0.9,"[19, 22, 31]"
FCN-VP-00093,pilaltepētzitzin,,,19,3,3,0,0.4,"[19, 22, 27]"
FCN-VP-00094,queniuhqui,,,19,3,3,0,0.4,"[19, 21, 22]"
FCN-VP-00095,quīza,,,19,3,3,0,0.4,"[19, 29, 31]"
FCN-VP-00096,little,,,20,3,3,0,0.4,"[20, 21, 23]"
FCN-VP-00097,tlahco,,,21,3,3,0,0.4,"[21, 22, 31]"
FCN-VP-00098,itztoqueh,,,22,3,3,0,0.4,"[22, 24, 26]"
FCN-VP-00099,yehyēctzin,,,22,3,3,0,0.4,"[22, 24, 25]"
