priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json,lesson_number
FCN-VP-00001,tlen,alternative spelling of tlein,pron,1,32,32,1,0.9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",8
FCN-VP-00005,īcā,,,4,14,14,0,0.4,"[4, 6, 7, 8, 9, 11, 12, 19, 22, 23, 27, 29, 31, 32]",8
FCN-VP-00006,cequin,,,8,14,14,0,0.4,"[8, 9, 11, 17, 19, 21, 24, 25, 26, 27, 29, 30, 31, 32]",8
FCN-VP-00010,questions,,,2,11,11,0,0.4,"[2, 4, 7, 8, 9, 18, 19, 21, 22, 29, 31]",8
FCN-VP-00013,huanya,,,6,9,9,0,0.4,"[6, 7, 8, 12, 13, 24, 25, 26, 31]",8
FCN-VP-00014,tlamānēxtilli,,,1,8,8,0,0.4,"[1, 3, 6, 7, 8, 9, 10, 12]",8
FCN-VP-00016,quēniuhqui,,,3,7,7,0,0.4,"[3, 8, 9, 10, 18, 19, 31]",8
FCN-VP-00020,tlamantli,thing.,noun,8,7,7,1,0.9,"[8, 19, 21, 22, 27, 29, 31]",8
FCN-VP-00024,school,,,3,6,6,0,0.4,"[3, 6, 8, 12, 13, 23]",8
FCN-VP-00042,mīllah,,,7,4,4,0,0.4,"[7, 8, 22, 24]",8
FCN-VP-00046,tlahtolli,Word; speech; language.,noun,8,4,4,1,0.9,"[8, 10, 19, 32]",8
FCN-VP-00047,yohui,,,8,4,4,0,0.4,"[8, 22, 24, 31]",8
FCN-VP-00077,achi,small.,adv,8,3,3,1,0.9,"[8, 10, 22]",8
FCN-VP-00116,ītōcah,,,4,2,2,0,0.4,"[4, 8]",8
FCN-VP-00121,caltlamachtiloyan,,,6,2,2,0,0.4,"[6, 8]",8
FCN-VP-00135,cīntli,,,8,2,2,0,0.4,"[8, 22]",8
FCN-VP-00136,hui,,,8,2,2,0,0.4,"[8, 20]",8
FCN-VP-00137,itōcah,,,8,2,2,0,0.4,"[8, 31]",8
FCN-VP-00138,mohmōztlah,,,8,2,2,0,0.4,"[8, 24]",8
FCN-VP-00139,pāmeh,,,8,2,2,0,0.4,"[8, 10]",8
FCN-VP-00140,quicocōa,,,8,2,2,0,0.4,"[8, 29]",8
FCN-VP-00141,quipoz,,,8,2,2,0,0.4,"[8, 20]",8
FCN-VP-00142,tlatlahco,,,8,2,2,0,0.4,"[8, 22]",8
FCN-VP-00143,īchichi,,,8,2,2,0,0.4,"[8, 24]",8
FCN-VP-00331,children,,,8,1,1,0,0.4,[8],8
FCN-VP-00332,hua,,,8,1,1,0,0.4,[8],8
FCN-VP-00333,hurts,,,8,1,1,0,0.4,[8],8
FCN-VP-00334,momāquilih,,,8,1,1,0,0.4,[8],8
FCN-VP-00335,noconēhuan,,,8,1,1,0,0.4,[8],8
FCN-VP-00336,nopitzohuan,,,8,1,1,0,0.4,[8],8
FCN-VP-00337,quicuāh,,,8,1,1,0,0.4,[8],8
FCN-VP-00338,ticcui,,,8,1,1,0,0.4,[8],8
FCN-VP-00339,titlacuāh,,,8,1,1,0,0.4,[8],8
FCN-VP-00340,toquechcuayo,,,8,1,1,0,0.4,[8],8
FCN-VP-00341,totlācayo,,,8,1,1,0,0.4,[8],8
FCN-VP-00342,yohuih,,,8,1,1,0,0.4,[8],8
FCN-VP-00343,īicxi,,,8,1,1,0,0.4,[8],8
FCN-VP-00344,īixco,,,8,1,1,0,0.4,[8],8
