priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json,lesson_number
FCN-VP-00001,tlen,alternative spelling of tlein,pron,1,32,32,1,0.9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",25
FCN-VP-00002,huan,and,conj,2,24,24,1,0.9,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31]",25
FCN-VP-00004,tequitl,work,noun,10,16,16,1,0.9,"[10, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31]",25
FCN-VP-00006,cequin,,,8,14,14,0,0.4,"[8, 9, 11, 17, 19, 21, 24, 25, 26, 27, 29, 30, 31, 32]",25
FCN-VP-00008,tlachīhualiztli,,,6,12,12,0,0.4,"[6, 12, 14, 15, 16, 17, 19, 23, 24, 25, 28, 31]",25
FCN-VP-00009,tlamanēxtilli,,,12,12,12,0,0.4,"[12, 13, 14, 15, 16, 17, 19, 20, 23, 24, 25, 32]",25
FCN-VP-00012,ahāhuiltiliztli,,,6,9,9,0,0.4,"[6, 13, 14, 15, 16, 17, 20, 24, 25]",25
FCN-VP-00013,huanya,,,6,9,9,0,0.4,"[6, 7, 8, 12, 13, 24, 25, 26, 31]",25
FCN-VP-00018,yāhuatzinco,,,6,7,7,0,0.4,"[6, 7, 12, 13, 19, 22, 25]",25
FCN-VP-00022,cāmpa,,,19,7,7,0,0.4,"[19, 22, 23, 25, 26, 27, 31]",25
FCN-VP-00028,tlahtolpāmitl,,,6,5,5,0,0.4,"[6, 13, 24, 25, 31]",25
FCN-VP-00029,īchān,,,7,5,5,0,0.4,"[7, 12, 24, 25, 31]",25
FCN-VP-00030,tlacualli,Food.,noun,18,5,5,1,0.9,"[18, 19, 22, 25, 31]",25
FCN-VP-00036,huēyi,,,4,4,4,0,0.4,"[4, 22, 23, 25]",25
FCN-VP-00040,change,,,5,4,4,0,0.4,"[5, 15, 25, 31]",25
FCN-VP-00055,chachapalli,,,19,4,4,0,0.4,"[19, 22, 25, 27]",25
FCN-VP-00057,ātl,,,19,4,4,0,0.4,"[19, 22, 25, 30]",25
FCN-VP-00072,inanān,,,7,3,3,0,0.4,"[7, 25, 26]",25
FCN-VP-00099,yehyēctzin,,,22,3,3,0,0.4,"[22, 24, 25]",25
FCN-VP-00154,īnechca,,,11,2,2,0,0.4,"[11, 25]",25
FCN-VP-00206,huāllazceh,,,24,2,2,0,0.4,"[24, 25]",25
FCN-VP-00210,whichever,,,24,2,2,0,0.4,"[24, 25]",25
FCN-VP-00211,changes,,,25,2,2,0,0.4,"[25, 28]",25
FCN-VP-00970,alaxoxcuahuitl,,,25,1,1,0,0.4,[25],25
FCN-VP-00971,alaxoxcuatinih,,,25,1,1,0,0.4,[25],25
FCN-VP-00972,chair,,,25,1,1,0,0.4,[25],25
FCN-VP-00973,chela,,,25,1,1,0,0.4,[25],25
FCN-VP-00974,ciauhqueh,,,25,1,1,0,0.4,[25],25
FCN-VP-00975,ciauhtoc,,,25,1,1,0,0.4,[25],25
FCN-VP-00976,cuaciyah,,,25,1,1,0,0.4,[25],25
FCN-VP-00977,cuatzālan,,,25,1,1,0,0.4,[25],25
FCN-VP-00978,etlacualli,,,25,1,1,0,0.4,[25],25
FCN-VP-00979,ihcatocān,,,25,1,1,0,0.4,[25],25
FCN-VP-00980,ihcatoqueh,,,25,1,1,0,0.4,[25],25
FCN-VP-00981,ihcatozquia,,,25,1,1,0,0.4,[25],25
FCN-VP-00982,ihcatozquiah,,,25,1,1,0,0.4,[25],25
FCN-VP-00983,inihcatoqueh,,,25,1,1,0,0.4,[25],25
FCN-VP-00984,inihcatozquiah,,,25,1,1,0,0.4,[25],25
FCN-VP-00985,inyatoqueh,,,25,1,1,0,0.4,[25],25
FCN-VP-00986,inyatozquiah,,,25,1,1,0,0.4,[25],25
FCN-VP-00987,liquid,,,25,1,1,0,0.4,[25],25
FCN-VP-00988,mancohcuahuitl,,,25,1,1,0,0.4,[25],25
FCN-VP-00989,mochīuhqui,,,25,1,1,0,0.4,[25],25
FCN-VP-00990,mānto,,,25,1,1,0,0.4,[25],25
FCN-VP-00991,māntoc,,,25,1,1,0,0.4,[25],25
FCN-VP-00992,māntoya,,,25,1,1,0,0.4,[25],25
FCN-VP-00993,māntoz,,,25,1,1,0,0.4,[25],25
FCN-VP-00994,māntozquia,,,25,1,1,0,0.4,[25],25
FCN-VP-00995,nelhueyi,,,25,1,1,0,0.4,[25],25
FCN-VP-00996,niihcatozquia,,,25,1,1,0,0.4,[25],25
FCN-VP-00997,niyatozquia,,,25,1,1,0,0.4,[25],25
FCN-VP-00998,nomīllah,,,25,1,1,0,0.4,[25],25
FCN-VP-00999,notlanempan,,,25,1,1,0,0.4,[25],25
FCN-VP-01000,oncazquia,,,25,1,1,0,0.4,[25],25
FCN-VP-01001,tiihcatocān,,,25,1,1,0,0.4,[25],25
FCN-VP-01002,tiihcatoqueh,,,25,1,1,0,0.4,[25],25
FCN-VP-01003,tiihcatozquia,,,25,1,1,0,0.4,[25],25
FCN-VP-01004,tiihcatozquiah,,,25,1,1,0,0.4,[25],25
FCN-VP-01005,tiyatocān,,,25,1,1,0,0.4,[25],25
FCN-VP-01006,tiyatoqueh,,,25,1,1,0,0.4,[25],25
