entry_id,project_name,source_file,source_reference,lemma_display,ehn_spoken_form,msn_headword,msn_poetic_form,classical_citation_form,part_of_speech,register,register_suggestion,variety,gloss_en,gloss_es,root_family,source_confidence,speaker_validation_status,editorial_status,forms_json,etymology,parser,notes_internal,notes_public
kw::in-mitl-in-chimalli::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::in mitl in chimalli::sense-1,in mitl in chimalli,,in mitl in chimalli,,in mitl in chimalli,noun,,Classical_citation,Classical Nahuatl,"the arrow and the shield; war, warfare.",,,high,unreviewed,imported_raw,"[{""form"":""in mītl in chīmalli"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""}]",A difrasismo. From in mītl (“the arrow; arrows”) + in chīmalli (“the shield; shields”).,kaikki_unified,,
kw::in-mitl-in-chimalli::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::in mitl in chimalli::sense-2,in mitl in chimalli,,in mitl in chimalli,,in mitl in chimalli,noun,,Classical_citation,Classical Nahuatl,battle,,,high,unreviewed,imported_raw,"[{""form"":""in mītl in chīmalli"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""}]",A difrasismo. From in mītl (“the arrow; arrows”) + in chīmalli (“the shield; shields”).,kaikki_unified,,
kw::ilhuicaatl::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ilhuicaatl::sense-1,ilhuicaatl,,ilhuicaatl,,ilhuicaatl,noun,,Classical_citation,Classical Nahuatl,"sea, ocean",,,high,unreviewed,imported_raw,"[{""form"":""ilhuicaātl"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""},{""form"":""ylhuica atl"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""},{""form"":""ylhuicaatl"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""}]","Equivalent to ilhuicatl (“sky”) + ātl (“water”), because ocean water appears to meet the sky in the horizon.",kaikki_unified,,
kw::ilhuicaatl::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ilhuicaatl::sense-2,ilhuicaatl,,ilhuicaatl,,,noun,,Needs_review,Central Nahuatl,ocean,,,high,unreviewed,imported_raw,[],"Equivalent to ilhuicatl (“sky”) + ātl (“water”), because ocean water appears to meet the sky in the horizon.",kaikki_unified,,
kw::itzcuauhtli::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::itzcuauhtli::sense-1,itzcuauhtli,,itzcuauhtli,,itzcuauhtli,noun,,Classical_citation,Classical Nahuatl,"Golden eagle, Aquila chrysaetos.",,,high,unreviewed,imported_raw,"[{""form"":""ītzcuāuhtli"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""}]","ītztli ""obsidian"" + cuāuhtli ""eagle""",kaikki_unified,,
kw::izhuatl::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::izhuatl::sense-1,izhuatl,,izhuatl,,izhuatl,noun,,Classical_citation,Classical Nahuatl,Leaf.,,,high,unreviewed,imported_raw,[],Cognate to Classical Nahuatl izhuatl,kaikki_unified,,
kw::izhuatl::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::izhuatl::sense-2,izhuatl,izhuatl,izhuatl,,,noun,,EHN_colloquial,Eastern Huasteca Nahuatl,leaf.,,,high,unreviewed,imported_raw,[],Cognate to Classical Nahuatl izhuatl,kaikki_unified,,
kw::nahualli::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nahualli::sense-1,nahualli,,nahualli,,nahualli,noun,,Classical_citation,Classical Nahuatl,sorcerer,,,high,unreviewed,imported_raw,"[{""form"":""nāhualli"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""},{""form"":""nānāhualtin"",""tags"":[""plural""],""variety"":""Classical Nahuatl""},{""form"":""naualli"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""}]",,kaikki_unified,,
kw::nenetl::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nenetl::sense-1,nenetl,,nenetl,,nenetl,noun,,Classical_citation,Classical Nahuatl,doll,,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::nenetl::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nenetl::sense-2,nenetl,,nenetl,,nenetl,noun,,Classical_citation,Classical Nahuatl,idol,,,high,unreviewed,imported_raw,[],,kaikki_unified,,
